-27.448,-5.3793,34.379
-20.207,12.759,34.586
-48.138,13.759,1.069
-20.69,36,26.241
-42.138,24.172,0.96556
-26.931,60,7.0689
-7.3448,58.862,0.48283
-17.793,53.897,16.103
-32.276,54.655,-3.4136
-13.31,65.448,-16.103
-27.448,40.31,-21.517
-4.5517,50.276,-25.31
-4.5172,40.31,-21.379
-4.931,30.034,-22.586
-20.31,-5.3448,-33.689
-33.172,20.31,-9.5515
-35.276,1.4828,-11.276
-4.2069,26.69,11.276
-7.1379,-32.69,13.31
-3.0345,-26.034,10.241
-6.6552,-31.31,-4.6895
-16.966,15,-21.344
-19.345,-65.138,-11.379
-5.4483,-61.552,-14.862
-12.276,-55.621,-10.62
-23.241,-19.552,32.62
-41.414,-16.621,26.517
-18.379,-41.655,32.551
-16.759,-53.621,18.551
-49.31,-27.759,16.207
-42.621,-10.483,1.8966
-39.207,-54.621,10.207
-37.517,-54.931,-19.103
-50,7.5172,-16.241
-40.759,-2.7241,-10.827
-53.276,-17.414,-15.276
-47.621,-18.207,-32.275
-31.793,-16.552,-32.482
-33.69,22.897,-39.758
28.069,-4.8966,36.379
19.793,10.69,34.551
47.517,10.483,0.2414
21.034,36.552,26.551
43.103,24.931,1.4828
26.448,61.379,5.4138
7.2759,56.379,4.6552
25.897,49.828,11.552
23.621,64.931,-4.3791
11.586,65.483,-16.448
28,40.793,-20.275
4.3103,49.207,-27.103
3.069,39.931,-22.137
4.9655,28.276,-22.724
19.414,-2.0345,-34.172
33.483,21.138,-9.4825
34.759,2.8276,-10.655
3.6207,23.379,13.414
6,-35.241,10.31
1.7241,-29,10.827
6.931,-29.793,-8.7929
15.897,14.31,-19.724
17.655,-60.793,-13.069
3.8966,-61.552,-12.379
11.897,-55.655,-9.517
19.483,-19.586,32.137
37.448,-18.172,30.275
17.448,-40.69,32.62
13.103,-55.379,18.689
48.31,-26.862,16.965
41.483,-9.6552,3.8965
37.345,-52.103,13.034
36.69,-54.793,-17.896
51.138,11.621,-14.034
41.621,-1.3103,-9.2067
51.724,-16.276,-14.758
47.069,-19.034,-30.93
31.241,-16.517,-32.689
33.483,23.586,-39.861
